T_K,xi_pi,u,alpha_c,beta_c
0.0000000000e+00,2.3834586466e-01,7.6165413534e-01,5.5612722022e-02,4.7950019808e-02
0.0000000000e+00,2.3771929825e-01,7.6228070175e-01,5.4794057753e-02,4.8425331913e-02
0.0000000000e+00,2.3709273183e-01,7.6290726817e-01,5.3972474921e-02,4.8903123328e-02
0.0000000000e+00,2.3646616541e-01,7.6353383459e-01,5.3147969837e-02,4.9383402426e-02
0.0000000000e+00,2.3583959900e-01,7.6416040100e-01,5.2320538809e-02,4.9866177595e-02
0.0000000000e+00,2.3521303258e-01,7.6478696742e-01,5.1490178150e-02,5.0351457245e-02
0.0000000000e+00,2.3458646617e-01,7.6541353383e-01,5.0656884169e-02,5.0839249798e-02
0.0000000000e+00,2.3395989975e-01,7.6604010025e-01,4.9820653176e-02,5.1329563699e-02
0.0000000000e+00,2.3333333333e-01,7.6666666667e-01,4.8981481481e-02,5.1822407407e-02
0.0000000000e+00,2.3270676692e-01,7.6729323308e-01,4.8139365396e-02,5.2317789400e-02
0.0000000000e+00,2.3208020050e-01,7.6791979950e-01,4.7294301230e-02,5.2815718173e-02
0.0000000000e+00,2.3145363409e-01,7.6854636591e-01,4.6446285293e-02,5.3316202238e-02
0.0000000000e+00,2.3082706767e-01,7.6917293233e-01,4.5595313897e-02,5.3819250125e-02
0.0000000000e+00,2.3020050125e-01,7.6979949875e-01,4.4741383350e-02,5.4324870384e-02
0.0000000000e+00,2.2957393484e-01,7.7042606516e-01,4.3884489964e-02,5.4833071579e-02
0.0000000000e+00,2.2894736842e-01,7.7105263158e-01,4.3024630048e-02,5.5343862294e-02
0.0000000000e+00,2.2832080201e-01,7.7167919799e-01,4.2161799913e-02,5.5857251129e-02
0.0000000000e+00,2.2769423559e-01,7.7230576441e-01,4.1295995870e-02,5.6373246703e-02
0.0000000000e+00,2.2706766917e-01,7.7293233083e-01,4.0427214228e-02,5.6891857652e-02
0.0000000000e+00,2.2644110276e-01,7.7355889724e-01,3.9555451298e-02,5.7413092631e-02
0.0000000000e+00,2.2581453634e-01,7.7418546366e-01,3.8680703390e-02,5.7936960312e-02
0.0000000000e+00,2.2518796992e-01,7.7481203008e-01,3.7802966814e-02,5.8463469383e-02
0.0000000000e+00,2.2456140351e-01,7.7543859649e-01,3.6922237882e-02,5.8992628552e-02
0.0000000000e+00,2.2393483709e-01,7.7606516291e-01,3.6038512902e-02,5.9524446544e-02
0.0000000000e+00,2.2330827068e-01,7.7669172932e-01,3.5151788185e-02,6.0058932103e-02
0.0000000000e+00,2.2268170426e-01,7.7731829574e-01,3.4262060042e-02,6.0596093989e-02
0.0000000000e+00,2.2205513784e-01,7.7794486216e-01,3.3369324782e-02,6.1135940980e-02
0.0000000000e+00,2.2142857143e-01,7.7857142857e-01,3.2473578717e-02,6.1678481873e-02
0.0000000000e+00,2.2080200501e-01,7.7919799499e-01,3.1574818156e-02,6.2223725483e-02
0.0000000000e+00,2.2017543860e-01,7.7982456140e-01,3.0673039410e-02,6.2771680641e-02
0.0000000000e+00,2.1954887218e-01,7.8045112782e-01,2.9768238789e-02,6.3322356198e-02
0.0000000000e+00,2.1892230576e-01,7.8107769424e-01,2.8860412603e-02,6.3875761023e-02
0.0000000000e+00,2.1829573935e-01,7.8170426065e-01,2.7949557163e-02,6.4431904000e-02
0.0000000000e+00,2.1766917293e-01,7.8233082707e-01,2.7035668778e-02,6.4990794034e-02
0.0000000000e+00,2.1704260652e-01,7.8295739348e-01,2.6118743760e-02,6.5552440048e-02
0.0000000000e+00,2.1641604010e-01,7.8358395990e-01,2.5198778418e-02,6.6116850980e-02
0.0000000000e+00,2.1578947368e-01,7.8421052632e-01,2.4275769063e-02,6.6684035790e-02
0.0000000000e+00,2.1516290727e-01,7.8483709273e-01,2.3349712004e-02,6.7254003453e-02
0.0000000000e+00,2.1453634085e-01,7.8546365915e-01,2.2420603553e-02,6.7826762963e-02
0.0000000000e+00,2.1390977444e-01,7.8609022556e-01,2.1488440020e-02,6.8402323333e-02
0.0000000000e+00,2.1328320802e-01,7.8671679198e-01,2.0553217714e-02,6.8980693593e-02
0.0000000000e+00,2.1265664160e-01,7.8734335840e-01,1.9614932946e-02,6.9561882792e-02
0.0000000000e+00,2.1203007519e-01,7.8796992481e-01,1.8673582027e-02,7.0145899995e-02
0.0000000000e+00,2.1140350877e-01,7.8859649123e-01,1.7729161267e-02,7.0732754288e-02
0.0000000000e+00,2.1077694236e-01,7.8922305764e-01,1.6781666975e-02,7.1322454774e-02
