u,xi_pi,alpha_c,beta_c,physical
6.923976608187e-01,3.076023391813e-01,1.289653096639e-01,8.870951260752e-03,1.000000000000e+00
6.927318295739e-01,3.072681704261e-01,1.286889235198e-01,9.003518778934e-03,1.000000000000e+00
6.930659983292e-01,3.069340016708e-01,1.284118237033e-01,9.136556898572e-03,1.000000000000e+00
6.934001670844e-01,3.065998329156e-01,1.281340096544e-01,9.270066611539e-03,1.000000000000e+00
6.937343358396e-01,3.062656641604e-01,1.278554808136e-01,9.404048910965e-03,1.000000000000e+00
6.940685045948e-01,3.059314954052e-01,1.275762366210e-01,9.538504791237e-03,1.000000000000e+00
6.944026733500e-01,3.055973266500e-01,1.272962765170e-01,9.673435247999e-03,1.000000000000e+00
6.947368421053e-01,3.052631578947e-01,1.270155999417e-01,9.808841278156e-03,1.000000000000e+00
6.950710108605e-01,3.049289891395e-01,1.267342063354e-01,9.944723879869e-03,1.000000000000e+00
6.954051796157e-01,3.045948203843e-01,1.264520951385e-01,1.008108405256e-02,1.000000000000e+00
6.957393483709e-01,3.042606516291e-01,1.261692657911e-01,1.021792279692e-02,1.000000000000e+00
6.960735171261e-01,3.039264828739e-01,1.258857177335e-01,1.035524111488e-02,1.000000000000e+00
6.964076858814e-01,3.035923141186e-01,1.256014504060e-01,1.049304000967e-02,1.000000000000e+00
6.967418546366e-01,3.032581453634e-01,1.253164632487e-01,1.063132048573e-02,1.000000000000e+00
6.970760233918e-01,3.029239766082e-01,1.250307557021e-01,1.077008354883e-02,1.000000000000e+00
6.974101921470e-01,3.025898078530e-01,1.247443272063e-01,1.090933020594e-02,1.000000000000e+00
6.977443609023e-01,3.022556390977e-01,1.244571772016e-01,1.104906146534e-02,1.000000000000e+00
6.980785296575e-01,3.019214703425e-01,1.241693051282e-01,1.118927833655e-02,1.000000000000e+00
6.984126984127e-01,3.015873015873e-01,1.238807104264e-01,1.132998183038e-02,1.000000000000e+00
6.987468671679e-01,3.012531328321e-01,1.235913925365e-01,1.147117295890e-02,1.000000000000e+00
6.990810359231e-01,3.009189640769e-01,1.233013508987e-01,1.161285273542e-02,1.000000000000e+00
6.994152046784e-01,3.005847953216e-01,1.230105849533e-01,1.175502217456e-02,1.000000000000e+00
6.997493734336e-01,3.002506265664e-01,1.227190941405e-01,1.189768229219e-02,1.000000000000e+00
7.000835421888e-01,2.999164578112e-01,1.224268779006e-01,1.204083410545e-02,1.000000000000e+00
7.004177109440e-01,2.995822890560e-01,1.221339356739e-01,1.218447863276e-02,1.000000000000e+00
7.007518796992e-01,2.992481203008e-01,1.218402669005e-01,1.232861689381e-02,1.000000000000e+00
7.010860484545e-01,2.989139515455e-01,1.215458710208e-01,1.247324990954e-02,1.000000000000e+00
7.014202172097e-01,2.985797827903e-01,1.212507474750e-01,1.261837870221e-02,1.000000000000e+00
7.017543859649e-01,2.982456140351e-01,1.209548957034e-01,1.276400429531e-02,1.000000000000e+00
7.020885547201e-01,2.979114452799e-01,1.206583151462e-01,1.291012771362e-02,1.000000000000e+00
7.024227234754e-01,2.975772765246e-01,1.203610052437e-01,1.305674998321e-02,1.000000000000e+00
7.027568922306e-01,2.972431077694e-01,1.200629654362e-01,1.320387213142e-02,1.000000000000e+00
7.030910609858e-01,2.969089390142e-01,1.197641951638e-01,1.335149518684e-02,1.000000000000e+00
7.034252297410e-01,2.965747702590e-01,1.194646938669e-01,1.349962017938e-02,1.000000000000e+00
7.037593984962e-01,2.962406015038e-01,1.191644609857e-01,1.364824814021e-02,1.000000000000e+00
7.040935672515e-01,2.959064327485e-01,1.188634959605e-01,1.379738010176e-02,1.000000000000e+00
7.044277360067e-01,2.955722639933e-01,1.185617982315e-01,1.394701709778e-02,1.000000000000e+00
7.047619047619e-01,2.952380952381e-01,1.182593672390e-01,1.409716016328e-02,1.000000000000e+00
7.050960735171e-01,2.949039264829e-01,1.179562024232e-01,1.424781033454e-02,1.000000000000e+00
7.054302422723e-01,2.945697577277e-01,1.176523032244e-01,1.439896864914e-02,1.000000000000e+00
7.057644110276e-01,2.942355889724e-01,1.173476690829e-01,1.455063614594e-02,1.000000000000e+00
7.060985797828e-01,2.939014202172e-01,1.170422994389e-01,1.470281386508e-02,1.000000000000e+00
7.064327485380e-01,2.935672514620e-01,1.167361937326e-01,1.485550284799e-02,1.000000000000e+00
7.067669172932e-01,2.932330827068e-01,1.164293514044e-01,1.500870413739e-02,1.000000000000e+00
7.071010860485e-01,2.928989139515e-01,1.161217718945e-01,1.516241877727e-02,1.000000000000e+00
7.074352548037e-01,2.925647451963e-01,1.158134546431e-01,1.531664781292e-02,1.000000000000e+00
7.077694235589e-01,2.922305764411e-01,1.155043990905e-01,1.547139229091e-02,1.000000000000e+00
7.081035923141e-01,2.918964076859e-01,1.151946046769e-01,1.562665325911e-02,1.000000000000e+00
7.084377610693e-01,2.915622389307e-01,1.148840708426e-01,1.578243176666e-02,1.000000000000e+00
7.087719298246e-01,2.912280701754e-01,1.145727970280e-01,1.593872886402e-02,1.000000000000e+00
7.091060985798e-01,2.908939014202e-01,1.142607826731e-01,1.609554560292e-02,1.000000000000e+00
7.094402673350e-01,2.905597326650e-01,1.139480272183e-01,1.625288303638e-02,1.000000000000e+00
7.097744360902e-01,2.902255639098e-01,1.136345301039e-01,1.641074221871e-02,1.000000000000e+00
7.101086048454e-01,2.898913951546e-01,1.133202907700e-01,1.656912420554e-02,1.000000000000e+00
7.104427736007e-01,2.895572263993e-01,1.130053086570e-01,1.672803005375e-02,1.000000000000e+00
7.107769423559e-01,2.892230576441e-01,1.126895832051e-01,1.688746082156e-02,1.000000000000e+00
7.111111111111e-01,2.888888888889e-01,1.123731138546e-01,1.704741756846e-02,1.000000000000e+00
7.114452798663e-01,2.885547201337e-01,1.120559000457e-01,1.720790135523e-02,1.000000000000e+00
7.117794486216e-01,2.882205513784e-01,1.117379412186e-01,1.736891324397e-02,1.000000000000e+00
7.121136173768e-01,2.878863826232e-01,1.114192368137e-01,1.753045429806e-02,1.000000000000e+00
7.124477861320e-01,2.875522138680e-01,1.110997862712e-01,1.769252558219e-02,1.000000000000e+00
7.127819548872e-01,2.872180451128e-01,1.107795890314e-01,1.785512816233e-02,1.000000000000e+00
7.131161236424e-01,2.868838763576e-01,1.104586445344e-01,1.801826310576e-02,1.000000000000e+00
